sequence,sample_tick_ms,gyro_x_raw_lsb,gyro_x_dps,segment
0,0,0,0.0000,rest_before
1,10,0,0.0000,rest_before
2,20,0,0.0000,rest_before
3,30,0,0.0000,rest_before
4,40,0,0.0000,rest_before
5,50,0,0.0000,rest_before
6,60,0,0.0000,rest_before
7,70,0,0.0000,rest_before
8,80,0,0.0000,rest_before
9,90,0,0.0000,rest_before
10,100,0,0.0000,rest_before
11,110,0,0.0000,rest_before
12,120,0,0.0000,rest_before
13,130,0,0.0000,rest_before
14,140,0,0.0000,rest_before
15,150,0,0.0000,rest_before
16,160,0,0.0000,rest_before
17,170,0,0.0000,rest_before
18,180,0,0.0000,rest_before
19,190,0,0.0000,rest_before
20,200,0,0.0000,rest_before
21,210,0,0.0000,rest_before
22,220,0,0.0000,rest_before
23,230,0,0.0000,rest_before
24,240,0,0.0000,rest_before
25,250,0,0.0000,rest_before
26,260,0,0.0000,rest_before
27,270,0,0.0000,rest_before
28,280,0,0.0000,rest_before
29,290,0,0.0000,rest_before
30,300,0,0.0000,rest_before
31,310,0,0.0000,rest_before
32,320,0,0.0000,rest_before
33,330,0,0.0000,rest_before
34,340,0,0.0000,rest_before
35,350,0,0.0000,rest_before
36,360,0,0.0000,rest_before
37,370,0,0.0000,rest_before
38,380,0,0.0000,rest_before
39,390,0,0.0000,rest_before
40,400,0,0.0000,rest_before
41,410,0,0.0000,rest_before
42,420,0,0.0000,rest_before
43,430,0,0.0000,rest_before
44,440,0,0.0000,rest_before
45,450,0,0.0000,rest_before
46,460,0,0.0000,rest_before
47,470,0,0.0000,rest_before
48,480,0,0.0000,rest_before
49,490,0,0.0000,rest_before
50,500,0,0.0000,rest_before
51,510,0,0.0000,rest_before
52,520,0,0.0000,rest_before
53,530,0,0.0000,rest_before
54,540,0,0.0000,rest_before
55,550,0,0.0000,rest_before
56,560,0,0.0000,rest_before
57,570,0,0.0000,rest_before
58,580,0,0.0000,rest_before
59,590,0,0.0000,rest_before
60,600,0,0.0000,rest_before
61,610,0,0.0000,rest_before
62,620,0,0.0000,rest_before
63,630,0,0.0000,rest_before
64,640,0,0.0000,rest_before
65,650,0,0.0000,rest_before
66,660,0,0.0000,rest_before
67,670,0,0.0000,rest_before
68,680,0,0.0000,rest_before
69,690,0,0.0000,rest_before
70,700,0,0.0000,rest_before
71,710,0,0.0000,rest_before
72,720,0,0.0000,rest_before
73,730,0,0.0000,rest_before
74,740,0,0.0000,rest_before
75,750,0,0.0000,rest_before
76,760,0,0.0000,rest_before
77,770,0,0.0000,rest_before
78,780,0,0.0000,rest_before
79,790,0,0.0000,rest_before
80,800,0,0.0000,rest_before
81,810,0,0.0000,rest_before
82,820,0,0.0000,rest_before
83,830,0,0.0000,rest_before
84,840,0,0.0000,rest_before
85,850,0,0.0000,rest_before
86,860,0,0.0000,rest_before
87,870,0,0.0000,rest_before
88,880,0,0.0000,rest_before
89,890,0,0.0000,rest_before
90,900,0,0.0000,rest_before
91,910,0,0.0000,rest_before
92,920,0,0.0000,rest_before
93,930,0,0.0000,rest_before
94,940,0,0.0000,rest_before
95,950,0,0.0000,rest_before
96,960,0,0.0000,rest_before
97,970,0,0.0000,rest_before
98,980,0,0.0000,rest_before
99,990,0,0.0000,rest_before
100,1000,0,0.0000,tone_6hz
101,1010,88,5.5000,tone_6hz
102,1020,164,10.2500,tone_6hz
103,1030,217,13.5625,tone_6hz
104,1040,240,15.0000,tone_6hz
105,1050,228,14.2500,tone_6hz
106,1060,185,11.5625,tone_6hz
107,1070,116,7.2500,tone_6hz
108,1080,30,1.8750,tone_6hz
109,1090,-60,-3.7500,tone_6hz
110,1100,-141,-8.8125,tone_6hz
111,1110,-203,-12.6875,tone_6hz
112,1120,-236,-14.7500,tone_6hz
113,1130,-236,-14.7500,tone_6hz
114,1140,-203,-12.6875,tone_6hz
115,1150,-141,-8.8125,tone_6hz
116,1160,-60,-3.7500,tone_6hz
117,1170,30,1.8750,tone_6hz
118,1180,116,7.2500,tone_6hz
119,1190,185,11.5625,tone_6hz
120,1200,228,14.2500,tone_6hz
121,1210,240,15.0000,tone_6hz
122,1220,217,13.5625,tone_6hz
123,1230,164,10.2500,tone_6hz
124,1240,88,5.5000,tone_6hz
125,1250,0,0.0000,tone_6hz
126,1260,-88,-5.5000,tone_6hz
127,1270,-164,-10.2500,tone_6hz
128,1280,-217,-13.5625,tone_6hz
129,1290,-240,-15.0000,tone_6hz
130,1300,-228,-14.2500,tone_6hz
131,1310,-185,-11.5625,tone_6hz
132,1320,-116,-7.2500,tone_6hz
133,1330,-30,-1.8750,tone_6hz
134,1340,60,3.7500,tone_6hz
135,1350,141,8.8125,tone_6hz
136,1360,203,12.6875,tone_6hz
137,1370,236,14.7500,tone_6hz
138,1380,236,14.7500,tone_6hz
139,1390,203,12.6875,tone_6hz
140,1400,141,8.8125,tone_6hz
141,1410,60,3.7500,tone_6hz
142,1420,-30,-1.8750,tone_6hz
143,1430,-116,-7.2500,tone_6hz
144,1440,-185,-11.5625,tone_6hz
145,1450,-228,-14.2500,tone_6hz
146,1460,-240,-15.0000,tone_6hz
147,1470,-217,-13.5625,tone_6hz
148,1480,-164,-10.2500,tone_6hz
149,1490,-88,-5.5000,tone_6hz
150,1500,0,0.0000,tone_6hz
151,1510,88,5.5000,tone_6hz
152,1520,164,10.2500,tone_6hz
153,1530,217,13.5625,tone_6hz
154,1540,240,15.0000,tone_6hz
155,1550,228,14.2500,tone_6hz
156,1560,185,11.5625,tone_6hz
157,1570,116,7.2500,tone_6hz
158,1580,30,1.8750,tone_6hz
159,1590,-60,-3.7500,tone_6hz
160,1600,-141,-8.8125,tone_6hz
161,1610,-203,-12.6875,tone_6hz
162,1620,-236,-14.7500,tone_6hz
163,1630,-236,-14.7500,tone_6hz
164,1640,-203,-12.6875,tone_6hz
165,1650,-141,-8.8125,tone_6hz
166,1660,-60,-3.7500,tone_6hz
167,1670,30,1.8750,tone_6hz
168,1680,116,7.2500,tone_6hz
169,1690,185,11.5625,tone_6hz
170,1700,228,14.2500,tone_6hz
171,1710,240,15.0000,tone_6hz
172,1720,217,13.5625,tone_6hz
173,1730,164,10.2500,tone_6hz
174,1740,88,5.5000,tone_6hz
175,1750,0,0.0000,tone_6hz
176,1760,-88,-5.5000,tone_6hz
177,1770,-164,-10.2500,tone_6hz
178,1780,-217,-13.5625,tone_6hz
179,1790,-240,-15.0000,tone_6hz
